# VietSentiWordNet v1.0.0 (1 June 2011)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# VietSentiWordNet is distributed under the GNU publish licence
# http://www.gnu.org/licenses/gpl.html
#
# For any information about VietSentiWordNet:
# Web: https://sourceforge.net/projects/vietsentiwordne/
# -------
#
# Data format.
#
# VietSentiWordNet v1.0 is based on SentiWordNet version 3.0.
# SentiWordNet website: http://sentiwordnet.isti.cnr.it/
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet to the synset.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
# SynsetTerms column reports the terms, with sense number, belonging
# to the synset (separated by spaces).
# POS	ID	PosScore	NegScore	SynsetTerms	Gloss
a	00061262	0.5	0	khéo_tay#1	nhanh, giỏi hoặc chuyên nghiệp khi làm gì đó; "cô ấy khéo tay may vá"
a	00061664	0.625	0	nguyên_chất#4	chỉ thuần một chất, không có chất khác lẫn vào hoặc không có sự pha chế ; "vàng nguyên chất"
a	00064479	0.625	0	thuận_lợi#1	điều kiện tốt để làm gì đó; "thời tiết thuận lợi"
a	00064787	0.625	0	có lợi#1	có phẩm chất, chất lượng cao hơn mức bình thường; "lúa tốt"
a	00065064	0.75	0	tích_cực#3	có tác dụng khẳng định, thúc đẩy sự phát triển; "cô ấy có suy nghĩ tích cực"
a	00065488	0	0.75	bất_lợi#1	gây thiệt hại; "đó là vấn đề bất lợi với chúng ta"
a	00067038	0.625	0	khuyến_khích#1	xứng đáng được đề nghị hoặc đề xuất; "nó được khuyến khích làm việc đó"
a	00067379	0.75	0	tốt_hơn#3 tốt nhất#2	khôn ngoan hơn hoặc có nhiều thuận lợi hơn; "cái xe này tốt hơn xe kia"
a	00070939	0.125	0.5	ảnh_hưởng#1	có tác động đến một điều gì đó; "tôi bị ảnh hưởng bởi tiếng ồn"
a	00071142	0.5	0	ấn_tượng#1	chịu tác động hoặc ảnh hưởng rõ rệt; "tôi ấn tượng với cách trả lời của cô ấy"
a	00075515	0	0.75	phủ_định#2	bác bỏ sự tồn tại, sự cần thiết của cái gì; "câu phủ định"
a	00075389	0.5	0	đồng_ý#1	cùng quan điểm hoặc suy nghĩ với ai đó; "anh ấy đồng ý với tôi"
a	00077645	0	0.5	sợ#1	lo lắng về cái gì đó; "cô ấy rất sợ ma"
a	00078851	0	0.625	báo_động#1	cảm giác bất ngờ về một sự nguy hiểm nào đó; "tiếng chuông báo động"
a	00101609	0.75	0	vị_tha#1	sẵn lòng bỏ qua lỗi lầm của người khác; "cô ấy sống rất vị tha"
a	00102201	0.125	0	mơ_hồ#2	không xác định được vấn đề; "tôi vẫn còn mơ hồ về vấn đề đó"
a	00106182	0.25	0	hào_phóng#3	rộng rãi trong chi tiêu, trong quan hệ đối xử với mọi người; "hắn rất hào phóng với chúng tôi"
a	00107017	0.125	0.625	chật_hẹp#1	có phạm vi hẹp,nhỏ; "con ngõ chật hẹp"
a	01173697	0	0.875	tức_giận#3	cảm giác khó chịu với người nào đó; "cô ta rất tức giận với tôi"
a	00560586	0.75	0	thích_hợp#1	hợp với yêu cầu và đáp ứng tốt các đòi hỏi; "các điều kiện thích hợp"
a	00118567	0.375	0	náo_nhiệt#1	nhộn nhịp, sôi nổi trong hoạt động; "đường phố ồn ào, náo nhiệt"
a	00664879	0.5	0	ngạc_nhiên#1	lấy làm lạ, cảm thấy hoàn toàn bất ngờ với mình; "ai cũng ngạc nhiên trước khả năng của anh ta"
a	00133417	0.5	0.125	ngon_lành#1	gây được cảm giác thích thú, làm cho ăn hoặc uống không thấy chán hoặc làm việc gì đó dễ dàng, nhanh chóng,không gặp bất cứ khó khăn nào; "bài toán này giải ngon lành"
a	00149686	0.125	0.5	láu_cá#1	láu và có nhiều mẹo vặt; "thằng bé rất láu cá"
a	00148642	0.625	0	quý_báu#4	có giá trị, đáng được coi trọng; "lời khuyên quý báu"
a	00149120	0.625	0	sâu_sắc#15	có tính chất đi vào chiều sâu, vào những vấn đề thuộc bản chất, có ý nghĩa nhất; "một triết lí sâu sắc"
a	00149861	0.5	0.125	tự_nhiên#2	bình thường như vốn có của bản thân, không có gì là gò bó, giả tạo; "ăn uống tự nhiên"
a	00150055	0.25	0.5	bất_cẩn#2	vô ý, không cẩn thận; "canh phòng bất cẩn"
a	00150202	0.5	0.125	rõ_ràng#1	rõ đến mức ai cũng có thể thấy, có thể nhận biết được một cách dễ dàng; "bằng chứng rõ ràng"
a	00162863	0.375	0.5	nhút_nhát#1	rụt rè, e ngại; "cô bé mới đến rất nhút nhát"
a	00163315	0.125	0.5	khờ_dại#2	kém trí khôn, tinh ranh; "cô ta hãy còn khờ dại lắm"
a	00164681	0.125	0.5	lo_lắng#2	ở trong trạng thái rất không yên lòng; "vẻ mặt lo lắng"
a	00168039	0	0.375	phô_trương#4	chưng ra, bày ra cho người ta thấy, để lấy tiếng, lấy oai; "phô trương lực lượng"
a	00169692	0.125	0.25	xám_xịt#1	xám và đen lại, trông tối và xấu; "da dẻ xám xịt"
a	00176150	0.625	0	thịnh_vượng#1	trạng thái phát đạt, đang giàu lên; "làm ăn thịnh vượng"
a	00182718	0.5	0	thông_minh#7	có năng lực trí tuệ tốt, hiểu nhanh, tiếp thu nhanh; "cậu bé thông minh"
a	00193480	0	0.625	xấu#4	có hình thức, vẻ ngoài khó coi, gây cảm giác khó chịu, làm cho không muốn nhìn ngắm; "chữ xấu"
a	00193799	0	0.625	khủng_khiếp#1	hoảng sợ hoặc làm cho hoảng sợ ở mức rất cao; "tai họa khủng khiếp"
a	00194357	0	0.75	đe_dọa#1	làm ai đấy sợ sệt; "hắn đe dọa tôi"
a	00196934	0.5	0	yên_lòng#1	có trạng thái tâm lí yên ổn, không có điều gì phải lo lắng; "yên lòng nhắm mắt"
a	00197247	0.5	0	quả_quyết#1	tỏ ra có đủ quyết tâm, không hề do dự; "thái độ quả quyết"
a	00220082	0.875	0	xinh_đẹp#1	rất xinh, có được sự hài hòa, trông thích nhìn; "những cô nàng xinh đẹp"
a	00219705	0.75	0	rực_rỡ#1	có màu sắc tươi sáng đẹp đẽ và nổi bật hẳn lên, làm cho ai cũng phải chú ý; "nắng vàng rực rõ"
a	01211296	0.5	0	tiến_bộ#4	phát triển theo hướng đi lên, tốt hơn trước; "học hành tiến bộ"
a	00224166	0	0.75	hiểm_ác#1	chỉ người độc ác, có hành động xấu; "ông ta là con người hiểm ác"
a	00226891	0.5	0	tốt_bụng#2	có lòng tốt,thương người, sẵn sàng giúp đỡ người khác; "đó là một cô gái tốt bụng"
a	00229630	0.25	0.75	tệ nhất#1	cái gì đó hình thức rất xấu hoặc chất lượng rất kém; "đấy là món ăn tệ nhất mà tôi từng ăn"
a	00264776	0	0.5	hèn_nhát#1	kém bản lĩnh, thường do nhút nhát sợ sệt; "một kẻ hèn nhát"
a	00272172	0	0.25	tái_mét#2	tái đến mức nhợt nhạt như không còn chút máu (thường nói về sắc mặt); "khuôn mặt tái mét"
a	00273901	0.125	0.5	tối_tăm#1	tối, thiếu ánh sáng; "nhà cửa tối tăm"
a	00281342	0.25	0	hăng_hái#3	có lòng nhiệt tình và thái độ tích cực trong công việc; "cô ấy rất hăng hái làm việc"
a	00291181	0	0.375	vững_chắc#5	có khả năng chịu tác động mạnh từ bên ngoài mà vẫn giữ nguyên được trạng thái, tính chất, không bị phá huỷ; "bức tường được xây dựng vững chắc"
a	00295235	0.5	0.125	nhàn_rỗi#1	rỗi rãi, không phải làm việc gì; "anh ta có nhiều thời gian nhàn rỗi"
a	00302761	0.375	0	bình_tĩnh#2	không bối rối, mà làm chủ được tình cảm, hành động của mình; "bạn không nên mất bình tĩnh như thế"
a	00303480	0.5	0.125	ổn_định#4	ở trạng thái yên ổn, không còn có những biến động, thay đổi đáng kể; "giá cả ổn định"
a	00305590	0	0.75	bẩn_thỉu#12	có nhiều bụi bặm, rác rưởi, cáu ghét hoặc bị hoen ố; "cái giỏ bẩn thỉu"
a	00251373	0	0.5	bực_dọc#2	bực tức đến mức không chịu được, lộ rõ ở nét mặt, cử chỉ; "cô ta tỏ vẻ bực dọc"
a	00283703	0	0.5	tối_dạ#2	chậm hiểu, kém về khả năng tiếp thu kiến thức; "con bé có vẻ tối dạ"
a	00290784	0.125	0.125	lưỡng_lự#2	còn đang suy tính xem nên hay không nên, chưa biết quyết định như thế nào cho đúng; "cô ấy hãy còn lưỡng lự"
a	00309021	0.5	0	cẩn_thận#1	thận trọng trong hành động hoặc lời nói của mình, tránh sơ suất, để khỏi xảy ra điều bất lợi hoặc không hay; "cẩn thận không ngã"
a	00343552	0.5	0	cần_thiết#2	cần đến mức không thể nào không làm hoặc không có; "tài liệu cần thiết cho công việc"
a	00360650	0.625	0.125	trong_sáng#1	trong và không lẫn tạp chất hoặc có phẩm chất đạo đức tốt đẹp, không bị một vết nhơ bẩn nào; "cán bộ cần phải sống trong sạch"
a	00386392	0.25	0.25	trung_lập#5 không sắc#1	đứng ở giữa hai bên đối lập, không theo hoặc không phụ thuộc vào bên nào; "nước trung lập"
a	00403385	0.75	0.125	giàu#5	có nhiều hơn mức bình thường; "thức ăn giàu chất đạm"
a	00421513	0	0.25	đục#1	có nhiều gợn nhỏ vẩn lên làm cho mờ, không trong; "nước đục"
a	00428404	0.5	0	sáng_sủa#1	rõ ràng, rành mạch, dễ hiểu; "trình bày sáng sủa"
a	00438567	0	0.75	hà_khắc#1	khe khắt, ác nghiệt; "chính sách cai trị hà khắc"
a	00439588	0	0.75	ngu_dốt#1	ngu và dốt nát, không hiểu cái gì; "hắn không phải là một tên ngu dốt"
a	00441523	0.125	0.375	yếu#12	có sức lực kém dưới mức bình thường hoặc có mức độ, năng lực hoặc tác dụng ít, kém so với bình thường; "cơn bão yếu dần"
a	00452605	0.625	0.125	bí_mật#3	được giữ kín trong phạm vi một số ít người, không để lộ cho người ngoài biết; "hầm bí mật"
a	00558373	0	0.75	hạn_chế#2	giữ lại, ngăn lại trong một giới hạn nhất định, không thể hoặc không để cho vượt qua; "tầm nhìn còn hạn chế"
a	00002098	0	0.75	không_thể#1	không có, không đủ khả năng hoặc điều kiện làm việc gì, đối lập với có thể; "không thể nhận được tiền"
a	00005205	0.5	0	tuyệt_đối#1	hoàn toàn, không có một sự hạn chế hay một trường hợp ngoại lệ nào cả; "tuyệt đối trung thành", "tuyệt đối im lặng", "chân lý tuyệt đối"
a	00015720	0.125	0.5	lan_tràn#2 thặng_dư#1	quá nhiều
a	00016647	0.5	0.125	xanh_tươi#1	tươi tốt, đầy sức sống của cây
a	00017024	0	0.875	hiếm#3	rất ít có, rất ít xảy ra; "hiếm các loại thảo mộc", "hiếm bản vá lỗi của màu xanh lá cây trong sa mạc"
a	00017186	0.125	0.5	chặt_chẽ#6	không để rời khỏi sự theo dõi, không buông lỏng; "một thị trường chặt chẽ"
a	00017352	0	0.625	ngược_đãi#1	đối xử tàn tệ, ngược với đạo lí; "một người vợ bị lạm dụng"
a	00017782	0.625	0	chấp_nhận_được#1	xứng đáng với sự chấp nhận hoặc thỏa đáng; "mức chấp nhận được của bức xạ", "biểu diễn đa dạng từ chấp nhận tuyệt vời"
a	00024834	0	0.75	không quen_thuộc#1	lạ với lần đầu, không quen với; "không quen thuộc để mặc bộ quần áo"
a	00031974	0.5	0.125	hoạt_động#5	đặc trưng bởi các hoạt động năng động; "một em bé đang hoạt động", "hoạt động như một con linh dương", "một người đàn ông hoạt động là một người đàn ông của hành động"
a	00033077	0.5	0	nóng#21	đánh dấu bằng hoạt động kích thích trong một thời gian ngắn, "một tuần nóng trên thị trường chứng khoán"
a	00035868	0.5	0	nhộn_nhịp#1	không khí đông vui, tấp nập, do có nhiều người qua lại hoặc cùng tham gia hoạt động , "một thành phố nhộn nhịp"
a	00036998	0	0.5	chậm_chạp#2	có tốc độ, nhịp độ dưới mức bình thường; "một thị trường chậm chạp"
a	01841295	0	0.75	chậm#1	không phải là đến nay cùng như bình thường trong phát triển; "kinh tế phát triển chậm"
a	00042837	0	0.5	vô_hiệu#1	không có hiệu lực, không mang lại kết quả; "luật này đã vô hiệu từ tháng 4"
a	00044608	0	0.625	ẩn#1	khó phát hiện; "mặt trời ẩn trong đám mây"
a	00061885	0.625	0	khéo_léo#1	hiển thị sáng tạo và kỹ năng; "một tiện ích thông minh", "các cuộc diễn tập xảo quyệt dẫn đến thành công của ông", "một giải pháp tài tình để vấn đề"
a	00063087	0.5	0	nhanh_nhạy#1	tinh thần nhanh nhẹn và tháo vát; "đầu óc nhanh nhạy"
a	00069948	0.625	0	nghệ_thuật#2	đáp ứng các tiêu chuẩn thẩm mỹ và sự nhạy cảm; "nghệ thuật tay nghề"
a	00071142	0.5	0	gây ấn_tượng sâu_sắc#1	hoặc bị ảnh hưởng hoặc chịu ảnh hưởng rõ rệt
a	00073761	0.125	0.625	căng_thẳng#3	thiếu tự phát, không tự nhiên, "một nụ cười hạn chế", "buộc sự ân cần", "một nụ cười căng thẳng"
a	00076580	0	0.875	thô_bạo#2	có những hành vi, cử chỉ xúc phạm đến người khác một cách trắng trợn; "họ đã hành động thô bạo sau khi vi phạm thứ ba"
a	00079069	0.125	0.625	e_ngại#3	trong sợ hãi hoặc sợ hãi của cái ác có thể hoặc gây tổn hại; "e ngại cho cuộc sống của một người", "e sợ nguy hiểm"
a	00081234	0	0.625	mất bình_tĩnh#1	không giữ được tâm trạng ổn định; "anh ấy bị mất bình tĩnh"
a	00084795	0	0.5	hung_dữ#1	sẵn sàng gây tai hoạ một cách đáng sợ ; "một bài phát biểu hung dư chống lại chính phủ mới"
a	00085264	0	0.5	kích_động#1	tác động mạnh đến tinh thần gây ra những xúc động mãnh liệt ; "kích động cha mẹ"
a	00089051	0.5	0	dễ_chịu#1	phù hợp với ý thích riêng hoặc cảm xúc của bạn hoặc thiên nhiên;" một cách dễ chịu "
a	00089355	0.125	0.875	khó_chịu#1	không phải theo ý thích của bạn, "một tình huống khó chịu"
a	00090219	0.333	0.667	khắc_nghiệt#6	mạnh khó chịu, nghiêm ngặt; "các sự kiện khắc nghiệt của sự chậm trễ tòa án"
a	00094941	0.5	0	hữu_hiệu#2	có khả năng sống hoặc tăng trưởng bình thường và phát triển; " vị thuốc hữu hiệu"
a	00095280	0	0.75	chết#1	mất khả năng sống, không còn có biểu hiện của sự sống ; "cây đã chết", "con số chết"
a	00099290	0.5	0	sống#2	ở trạng thái còn sống, chưa chết; "cây vẫn còn sống"
a	00100373	0	0.75	vô_hồn#4	ở trạng thái đờ đẫn , mất hết sự  sống, "một ánh mắt vô hồn"
a	00094324	0.125	0.5	không_thể đổi#1 không_thể chuyển_nhượng#1	không có khả năng được chuyển giao;"vị trí này không thể đổi cho người khác được"
a	00082160	0.625	0.25	không hốt_hoảng#1	không bị ảnh hưởng bởi sợ hãi; "anh ấy không hốt hưởng trước sự cố đó"
a	00080098	0	0.75	kị#2	không hợp nhau, không thể cùng tồn tại ; "Hai loại thức ăn này kị nhau"
a	00284400	0.125	0.5	dịu#4 mềm#19	không xuất sắc hoặc rõ ràng; "mặt trăng đổ bóng mềm", "màu pastel mềm"
a	00285506	0.25	0.625	ghen#2	khó chịu, bực dọc với người được hưởng cái gì đó (thường là về tinh thần, tình cảm) hơn mình, có được cái mình muốn mà không có ; "nhìn với ánh mắt ghen "
a	00286214	0.5	0	khách_quan#1	có tính chất xuất phát từ thực tế, biểu hiện thực tế một cách trung thực, không thiên lệch;  "một thẩm định khách quan về những ưu và khuyết điểm", "con mắt khách quan của một nhà khoa học"
a	00286214	0.5	0	vô_tư#2	có tính chất xuất phát từ thực tế, biểu hiện thực tế một cách trung thực, không thiên lệch;  "một con người vô tư"
a	00299476	0	0.625	hỗn_tạp#4	không thuần nhất, gồm có nhiều thứ rất khác nhau lẫn lộn vào với nhau; "đám đông hỗn tạp có đủ hạng người"
a	00300359	0	0.5	đinh tai nhức_óc#4	có cảm giác thính giác bị rối loạn, do tác động của âm thanh có cường độ quá mạnh; "tiếng búa đinh tai nhức óc"
a	00300359	0	0.5	đinh_tai#4	có cảm giác thính giác bị rối loạn, do tác động của âm thanh có cường độ quá mạnh; "tiếng búa đinh tai nhức óc"
a	00300359	0	0.5	nhức_óc#4	có cảm giác thính giác bị rối loạn, do tác động của âm thanh có cường độ quá mạnh; "tiếng búa đinh tai nhức óc"
a	00301187	0.5	0	tính được#1	có khả năng được tính toán hoặc ước tính; "một rủi ro tính được", "tính được tỷ lệ cược"
a	00301777	0.125	0.625	khôn_lường#1	khó có khả năng được tính toán hoặc liệt kê, biết trước được ; "biến hóa khôn lường"
a	00304144	0.375	0.5	hoang_dã#13	có tính chất tự nhiên của núi rừng, xa đời sống của xã hội loài người ; "động vật hoang dã"
a	00305590	0	0.75	dơ#12	bẩn ;"chiếc áo bị dơ"
a	00310943	0.5	0	quá cẩn_thận#1	quá nhiều hoặc quá mức cẩn thận ; "anh ta quá cẩn thận"
a	00312757	0.125	0.75	liều_lĩnh#2	bất chấp nguy hiểm hoặc hậu quả tai hại có thể xảy ra; "hành động liều lĩnh"
a	00325281	0.75	0	thận_trọng#1	hiển thị cẩn thận suy tính trước; "anh ta rất thận trọng trong công việc"
a	00328528	0.5	0	mạch_lạc#3	diễn đạt trôi trảy, mạch lạc , từng đoạn một ;"ăn nói mạch lạc"
a	00339599	0.625	0	yên_tâm#1	có niềm tin phục hồi, giải thoát khỏi sự lo lắng, "anh cứ yên tâm mà nghỉ ngơi"
a	00342488	0.5	0	được chứng_nhận#2	có khả năng được bảo lãnh, xác nhận, "một thực tế được chứng nhận"
a	00344686	0.625	0	điều_chỉnh#2	sửa đổi, sắp xếp lại ít nhiều cho đúng hơn, hợp lí hơn ; "lãi suất điều chỉnh"
a	00355258	0	0.625	không thay_đổi#1	không thực hiện hoặc trở thành khác nhau; "những nguyên nhân mà họ đã sản xuất vẫn không thay đổi"
a	00363291	0.625	0	uyển_chuyển#2	có dáng điệu, đường nét mềm mại, gây cảm giác dịu dàng, ưa thích ; "dáng đi uyển chuyển"
a	00364881	0	0.625	xin_lỗi#4	xin được tha thứ vì có lỗi ; "anh ấy ngỏ lời xin lỗi"
a	00404110	0.625	0.25	sôi_động#3	ở trạng thái có nhiều biến động không ngừng ; "nhịp sống sôi động"
a	00408445	0.125	0.5	xanh_xao#3 nhạt#3	thiếu sức sống hoặc lãi suất và hiệu quả; "một màn biểu diễn nhạt của aria", "nhạt văn xuôi với các vị ngọt nhạt của hoa oải hương", "một hiệu suất xanh xao"
a	00412460	0.625	0	nhân_đạo#3	có tính chất thương yêu, quý trọng và vì con người; "hiến máu nhân đạo"
a	00417204	0	0.75	nguyên#7	hông được xử lý hoặc bị phân tích; "dữ liệu thô", "chi phí nguyên liệu sản xuất", "chỉ có số liệu thống kê quan trọng thô"
a	00417413	0.5	0	sạch#1	không có bụi bặm, rác rưởi, cáu ghét, hoặc không bị hoen ố ; "Các con có khuôn mặt sáng sạch", "sạch áo sơ mi trắng", " mèo là động vật sạch "
a	00418679	0.5	0.125	nguyên_sơ#2	thuộc về lúc ban đầu, lúc mới hình thành, chưa phát triển ; "trao khăn tay màu trắng nguyên sơ của mình"
a	00419289	0	0.75	dơ_bẩn#1	bẩn thỉu, xấu xa đến mức đáng ghê tởm ; "bộ mặt xấu xa , dơ bẩn"
a	00421002	0	0.75	thô_tục#2	thiếu lịch sự, thiếu tế nhị đến mức tục tằn ; "cách ăn uống thô tục"
a	00422374	0	0.625	tệ_hại#2	quá tệ và có tác dụng gây những tổn thất lớn; "một hành động tệ hại"
a	00422374	0	0.625	tệ#2	quá tệ và có tác dụng gây những tổn thất lớn; "một hành động tệ hại"
a	00429016	0.5	0	sắc_bén#3	có hiệu lực, có tác dụng tư tưởng mạnh mẽ ; "lập luận sắc bén"
a	00429355	0.5	0	dễ_hiểu#1	không đòi hỏi phải có nhiều điều kiện hoặc phải cố gắng nhiều mới có được, làm được hay mới đạt được kết quả; "bài giảng dễ hiểu"
a	00430041	0.5	0.125	sống_động#2	sinh động, có những biểu hiện mạnh mẽ của sự sống ; "tranh vẽ rất sống động"
a	00434597	0.25	0.5	rắn#10	có khả năng chịu đựng được những tác động bất lợi về tâm lí mà tinh thần, tình cảm không bị ảnh hưởng ; "mặt rắn đanh"
a	00435492	0	0.75	nhầm_lẫn#5	tinh thần lẫn lộn, không thể suy nghĩ rõ ràng ; "câu trả lời nhầm lẫn"
a	00437744	0.5	0.125	hiền#3	không dữ, không có những hành động, những tác động gây hại cho người khác, gây cảm giác dễ chịu, không phải ngại, phải sợ khi tiếp xúc; "tính chị ấy rất hiền"
a	00438063	0	0.625	quá_mức#2	không tha, tàn nhẫn; "một nhà phê bình quá mức"
a	00438567	0	0.75	xấu_số#1	có số phận không may; "đứa trẻ xấu số"
a	00439588	0	0.75	ngu_si#1	rất ngu, hầu như chẳng biết gì; "đầu óc ngu si"
a	00453308	0.75	0	thân_mật#1	đánh dấu bởi người quen thân, hiệp hội, hoặc đã làm quen, "người bạn thân thiết", "thân mật quan hệ giữa kinh tế, chính trị, và các nguyên tắc pháp lý"
a	00469170	0	0.5	phân_tách#3	phân ra, tách nhau ra thành những đơn vị riêng rẽ; "quá trình phân tách"
a	00473658	0	0.5	dễ_cháy#1	dễ dàng bắt lửa; "dầu dễ cháy"
a	00473869	0	0.625	gây cháy#3	có khả năng bắt cháy tự phát hoặc gây hoả hoạn, cháy dễ dàng, "một tác nhân gây cháy", "quả bom gây cháy"
a	00478685	0	0.625	đau_đớn#4	gây khó chịu về thể chất; " bị rắn cắn ,nó có thể rất đau đớn"
a	00479330	0.625	0	thoải_mái#2	ở trạng thái hoàn toàn dễ chịu, được hoạt động tự nhiên theo ý muốn, không bị gò bó, hạn chế; "tinh thần thoải mái, vui vẻ"
a	00481855	0	0.625	không xứng#1	không tương ứng với kích thước hoặc độ hay mức độ, "kết quả không xứng với nỗ lực của mình"
a	00487653	0.5	0.25	thường#1	không có gì khác lạ, không có gì đặc biệt so với số lớn những cái cùng loại ; "ngày tết cũng  như ngày thường"
a	00491089	0.625	0	đặc_biệt#3	rõ rệt khác với thông thường, "một sở thích đặc biệt của nhồi và lắp dơi", "một người đàn ông ... cảm thấy đó là một sự xúc phạm đặc biệt được chế giễu với hèn nhát của một người phụ nữ"
a	00491511	0.5	0	độc_đáo#4	có tính chất riêng của mình, không phỏng theo những gì đã có xưa nay, không giống, không lẫn với những gì có ở người khác; "một ý tưởng độc đáo"
a	00503876	0	0.5	bở#1	dễ tơi ra, vụn ra khi chịu tác động của lực cơ học ; "đất bở tung"
a	00507292	0.25	0.625	lãnh_đạm#1	không có biểu hiện tình cảm, tỏ ra không muốn quan tâm đến ; "thái độ lãnh đạm"
a	00507464	0.5	0	tương_thích#1	có thể tồn tại và thực hiện kết hợp hài hòa hoặc dễ chịu; "một cặp vợ chồng tương thích kết hôn", "những hành động của cô đã tương thích với hệ tư tưởng của mình"
a	00508480	0.25	0.5	đối_kháng#5	đối lập sâu sắc, một mất một còn, không thể dung hoà được với nhau; "mâu thuẩn đối kháng"
a	00508592	0.125	0.625	xung_đột#1	va chạm, chống đối nhau do mâu thuẫn gay gắt ; "xung đột lợi ích của khai thác gỗ và các nhà bảo tồn"
a	00512130	0.75	0	có thẩm_quyền#3	hợp pháp đủ điều kiện hoặc đủ; "một tòa án có thẩm quyền", "có thẩm quyền chứng"
a	00513799	0	0.75	phàn_nàn#1	nói ra nỗi buồn bực, không vừa ý để mong có sự đồng cảm, đồng tình ; "một ông chủ phàn nàn"
a	00514396	0.5	0	nén#1	có khả năng bị nén, làm nhỏ gọn hơn, "vật liệu đóng gói nén", "một hộp nén"
a	00523068	0.75	0	toàn_diện#2	có hoặc hiển thị tất cả các đặc tính cần thiết cho đầy đủ, "một cuộc khủng hoảng  tài chính toàn diện "
a	00522463	0.875	0	triệt_để#1	thực hiện toàn diện và hoàn toàn; "một cuộc cách mạng toàn diện"
a	00531087	0.625	0	thản_nhiên#1	có dáng vẻ tự nhiên như thường, coi như không có gì xảy ra ; "nét mặt nó thản nhiên"
a	00534524	0.125	0.5	khó_hiểu#1	không rõ ràng để hiểu biết ; "bài toán thật khó hiểu"
a	00539389	0	0.625	đơn_độc#3	chỉ riêng một mình, tách khỏi quan hệ với đồng loại ; "sống đơn độc một mình"
a	00541823	0	0.5	mật_độ thấp#2	có nồng độ thấp; "mật độ thấp khu vực đô thị"
a	00543603	0.5	0.375	liên_quan#1	có mối quan hệ nào đó với nhau; "cha mẹ có liên quan của người phạm tội trẻ trung"
a	00545746	0.125	0.625	thờ_ơ#1	tỏ ra lạnh nhạt, không hề quan tâm, để ý tới, không hề có chút tình cảm gì ; "thờ ơ với thời cuộc"
a	00551695	0	0.625	tạm_thời#1	không phải cuối cùng hay tuyệt đối; "Nghị định này là tạm thời và không tuyệt đối"
a	00554302	0	0.5	chia_rẽ bè_phái#1	bất đồng (đặc biệt là ý kiến bất đồng với ý kiến đa số); "trong một lớp mà  chia rẽ bè phái"
a	00558373	0	0.75	giới_hạn#2	phạm vi, mức độ nhất định, không thể hoặc không được phép vượt qua ; "sức lực con người là có giới hạn"
a	00560900	0.75	0	hòa_đồng#2	thân thiện,thích nghi với môi trường mới; "anh ta là người là hòa đồng"
a	00561359	0	0.625	phản_cảm#5	gây ra phản ứng tiêu cực, làm cho cảm thấy bực mình, khó chịu (thường nói về người thưởng thức nghệ thuật); "bức tranh gây phản cảm cho người xem"
a	00562308	0.625	0	hài_hòa#3	phù hợp với những thứ còn lại; "những bộ quần áo phù hợp được hài hòa với quân đội của mình mang"
